"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B079L6Z431","B076KQB6X1","Yesteria Renacer Muñeca Trajes Chica por 50-55 cm Patrón de Vaca Rojo Rosa","20","0.28%","27","0.27%","100%","1","5.00%","€21.99","1"
"B076P99TGC","B076P99TGC","Realista Reborn Bebé Silicona de Cuerpo Completo Vinilo Suave Tacto Muñeca 57 cm Traje Rojo","134","1.90%","182","1.83%","100%","1","0.75%","€99.99","1"
"B079L6NK9Y","B076Q71HXL","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Realista Muñeca Chico DE 27 cm Traje Azul Claro","5","0.07%","7","0.07%","100%","1","20.00%","€32.99","1"
"B0788N4FMR","B0788N4FMR","Yesteria Renacer Muñecas Real de Silicona Cerrados Los Ojos Vinilo 55 cm Vestido Blanco","387","5.50%","483","4.87%","100%","1","0.26%","€89.99","1"
"","B0792VG6VZ","Yesteria 45 cm Realista Reborn Bebé Chico Silicona Vinilo Suave Tacto Muñeca Traje Azul","0","0.00%","0","0.00%","0%","1","0.00%","€89.99","1"
"B079L6Z431","B079NXJZ52","Yesteria Renacer Muñeca Trajes Chico por 50-55 cm Pantalones Blancos y celestes","10","0.14%","12","0.12%","100%","1","10.00%","€21.99","1"
"B07BHMXQ7H","B07BHMXQ7H","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Muñeca Realista Muchacha 40 cm Traje Morado Claro","168","2.39%","236","2.38%","100%","1","0.60%","€79.99","1"
"B07BHMZT4Y","B07BHMZT4Y","Yesteria Realista Reborn Bebé Muchacha Silicona Vinilo Suave Tacto Muñeca 55 cm Falda de Mezclilla","456","6.48%","644","6.49%","100%","1","0.22%","€89.99","1"
"B07BHNQ7QC","B07BHNQ7QC","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Muchacha Falda Tutu 55 cm Rojo Rosa","661","9.39%","984","9.91%","100%","1","0.15%","€89.99","1"
"B07D4D6Q9C","B07D4D6Q9C","Yesteria 24 Inches Realista Reborn bebé muñeca Silicona Overol Chamarra Azul Pantalones Blanco Zapatos","31","0.44%","42","0.42%","100%","1","3.23%","€108.99","1"
"B07F73THXK","B07F73THXK","Yesteria Realista Reborn Bebé Muñecas Recién Nacido Niña Tartán Princesa 60 cm","18","0.26%","26","0.26%","92%","1","5.56%","€118.99","1"
"B076J2H7FC","B076J2H7FC","Yesteria Muñeca Bebé Recién Nacido Niña con Peluca Mirar Realista Niñita Siliconas Rosa 55 cm","31","0.44%","45","0.45%","100%","0","0.00%","€0.00","0"
"B076J4L24W","B076J4L24W","Yesteria Muñeca Renacida Que Parece Viva Vinilo Silicona Suave Realista Toque Apacible 55 cm Traje Rosa","227","3.22%","326","3.28%","100%","0","0.00%","€0.00","0"
"B076J5RSFF","B076J5RSFF","Bebé Recién Nacido de Silicona Reborn Baby Doll Realistica 55 cm Vestimenta Luz Azul","93","1.32%","116","1.17%","100%","0","0.00%","€0.00","0"
"B076J6949M","B076J6949M","Renacer Muñecas Real de Silicona Cerrados Los Ojos Vinilo 55 cm Vestido Rosa","12","0.17%","16","0.16%","100%","0","0.00%","€0.00","0"
"B079BV9189","B076MT3BDS","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Realista Muñeca DE 55 cm Traje Blanco con Fundas Azules","100","1.42%","148","1.49%","100%","0","0.00%","€0.00","0"
"B079BV9189","B076MW1Y4F","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Ojos de Muñeca Realista Cerrado 55 cm Traje Blanco con Mantas Rosa","27","0.38%","32","0.32%","100%","0","0.00%","€0.00","0"
"B079L6NK9Y","B076Q8RG21","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Realista Muñeca Chica DE 27 cm Traje Rosa","85","1.21%","110","1.11%","100%","0","0.00%","€0.00","0"
"B077HNP6TL","B077HNP6TL","Yesteria Muñeca Bebé Recién Nacido Cuerpo Completo de Silicona Elefante Outfit Gris 27 cm","7","0.10%","7","0.07%","100%","0","0.00%","€0.00","0"
"B077SGXYL6","B077SGXYL6","Yesteria Muñeca Renacida Que Parece Viva Vinilo Silicona Suave Realista 55 cm Falda Tutu Rosado","98","1.39%","129","1.30%","100%","0","0.00%","€0.00","0"
"B077SHDMC8","B077SHDMC8","Realista Reborn Bebé Silicona Vinilo Suave Tacto Muñeca 55 cm Traje Luz Azul","107","1.52%","150","1.51%","100%","0","0.00%","€0.00","0"
"B079L6Z431","B077T29TYP","Yesteria Renacer Muñeca Trajes Chica por 50-55 cm Blanco y Modelo de Vaca","9","0.13%","9","0.09%","100%","0","0.00%","€0.00","0"
"B0784T23ZQ","B0784T23ZQ","Muñeca Reborn de Silicona Muñeca Realistica DE 55 cm Vestimenta de Azul Claro","242","3.44%","305","3.07%","100%","0","0.00%","€0.00","0"
"B0788N9R3H","B0788N9R3H","Realista Bebé Silicona Muñecas de Vinilo 55 cm Vestir de Rosa Roja","21","0.30%","27","0.27%","100%","0","0.00%","€0.00","0"
"B079L65795","B0788NF4TB","Yesteria Muñeca Renacido Africano Chico Cuerpo Completo de Silicona Traje de Estilo Bohemio 27 cm","1","0.01%","1","0.01%","100%","0","0.00%","€0.00","0"
"B079L65795","B0788P8DCG","Yesteria Muñeca Renacido Africano Chica Cuerpo Completo de Silicona Traje de Estilo Bohemio 27 cm","16","0.23%","17","0.17%","100%","0","0.00%","€0.00","0"
"B07BPZ98DZ","B07929YDZM","Silicona de Cuerpo Completo Realista Reborn Bebé Gemelos Muchacha 43 cm Traje Rosado","21","0.30%","23","0.23%","100%","0","0.00%","€0.00","0"
"B0793RG3PM","B0793RG3PM","Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Muñeca Realista Chico 55 cm Jumpsuit a Rayas Rojas","8","0.11%","8","0.08%","100%","0","0.00%","€0.00","0"
"B079JQCWQ6","B079JQCWQ6","Yesteria 55 cm Muñeca Renacida Muchacha Que Parece Viva Vinilo Silicona Suave Realista Traje Rosa","3","0.04%","3","0.03%","100%","0","0.00%","€0.00","0"
"B079JRDT89","B079JRDT89","Yesteria Muñeca Renacida Reborn Baby Doll Niña Mirar Real Lifelike Niñita Bebé Siliconas Ojo Cerrado Rosa Equipo 55 cm","171","2.43%","241","2.43%","100%","0","0.00%","€0.00","0"
"B079L6Z431","B079NX5R9C","Yesteria Renacer Muñeca Trajes Chico por 50-55 cm Traje Azul Claro","8","0.11%","8","0.08%","100%","0","0.00%","€0.00","0"
"B079NYR8GC","B079NYR8GC","Yesteria Muñeca Bebé Recién Nacido Niña Mirar Realista Niñita Bebé Siliconas Conjunto con Vestido Bonito Blanco 40 cm","7","0.10%","8","0.08%","100%","0","0.00%","€0.00","0"
"B079L6Z431","B079P28VV3","Yesteria Renacer Muñeca Trajes Chico por 50-55 cm Traje Azul Claro","7","0.10%","8","0.08%","100%","0","0.00%","€0.00","0"
"B079L6Z431","B079P55XYW","Yesteria Renacer Muñeca Trajes Chico por 50-55 cm Traje Rosa","12","0.17%","12","0.12%","100%","0","0.00%","€0.00","0"
"B07BPZ98DZ","B07B7G22RT","Silicona de Cuerpo Completo Realista Reborn Bebé Gemelos Chico 43 cm Traje Azul Claro","70","0.99%","94","0.95%","100%","0","0.00%","€0.00","0"
"B07BRK2R83","B07BRK2R83","Yesteria Muñeca Renacida Reborn Baby Doll Niña Mirar Real Lifelike Niñito Bebé Vinilo de Silicona Rosa Equipo 40 cm","17","0.24%","37","0.37%","100%","0","0.00%","€0.00","0"
"B07CM52CNC","B07CM52CNC","Yesteria 55 cm Realista Reborn Bebé Muchacha Silicona Vinilo Suave Tacto Muñeca Camisón Retro Europeo Blanco","124","1.76%","155","1.56%","100%","0","0.00%","€0.00","0"
"B07CM664M7","B07CM664M7","Yesteria Muñeca Bebé Recién Nacido Niña Mirar Realista Niñita Bebé Vinilo de Silicona Ojos Cerrados con Pijama Rosa 51 cm","6","0.09%","13","0.13%","100%","0","0.00%","€0.00","0"
"B07CM9N213","B07CM9N213","Yesteria Muñeca Renacida Niña Mirar Real Lifelike Niñita Bebé Siliconas Falda de Tutú Roja Rosa con Pantalones a Rayas 55 cm","23","0.33%","29","0.29%","0%","0","0.00%","€0.00","0"
"B07D4DC72D","B07D4DC72D","Yesteria Muñecas Reborn Bebé Realista Vinilo Silicona Panda Coat Negro Zapatos de Pantalones 60 cm","54","0.77%","70","0.71%","100%","0","0.00%","€0.00","0"
"B07D4DRFYN","B07D4DRFYN","Yesteria 24 Inches Realista muñeca bebé niña Zapatillas de Silicona Traje de Color Rosa Blanco con Juguete Jirafa","6","0.09%","7","0.07%","100%","0","0.00%","€0.00","0"
"B07DDB7VBP","B07DDB7VBP","Yesteria Muñeca Bebé Recién Nacido Niña Mirar Realista Niñita Bebé Vinilo de Silicona Rosa Claro Vestido 40cm","1","0.01%","1","0.01%","100%","0","0.00%","€0.00","0"
"B07DGB6SHX","B07DGB6SHX","Yesteria Muñeca Renacida Niña Durmiente Mirar Real Lifelike Niñita Bebé Siliconas Falda de Tutú Morado Claro 55 cm","8","0.11%","21","0.21%","100%","0","0.00%","€0.00","0"
"B07F71667Y","B07F71667Y","Yesteria Realista Reborn Bebé Muñecas recién Nacido Niña Falda Rosado Princesa 55 cm","92","1.31%","124","1.25%","100%","0","0.00%","€0.00","0"
"B07F72X354","B07F72X354","Yesteria Realista Reborn Bebé Muñecas recién Nacido Niña Falda Floral Princesa 55 cm","22","0.31%","28","0.28%","100%","0","0.00%","€0.00","0"
"B07G1WRYLK","B07G1WRYLK","Yesteria Realistic Reborn Bebé Muñeca Silicone Suave Cuerpo Precioso Traje Rosa 42cm","15","0.21%","22","0.22%","100%","0","0.00%","€0.00","0"
