snapshot-date	Marketplace	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal
2018-08-25	amazon.it	DO-YELQ101-B7-22	X000UVINCT	B079JRPXZ8	55 cm Bambola Realistica Silicone Bambini Ragazzo Vestito Bianco Modello di Coccodrillo	New	30	0	30	0	0	0	0	EUR	20	EUR 99.35	0	EUR 0.0	0	0	0	0	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	32	89.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ018-P4-16	X000TT1XQZ	B07BHMXQ7H	Yesteria Reborn Baby Dolls Girl Look Real Silicone Light Purple Outfit 16 Inches	New	16	0	16	0	0	0	0	GBP	4	GBP 27.04	0	GBP 0.0	0	0	0	0	Low conversion	GBP 109.99	GBP 62.99	GBP 62.99	GBP 0.0	Update inventory settings for:	15	62.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ638-PI-20	X000TT213T	B07929YDZM	Voller Silikon Körper Reborn Baby Doll Mädchen Echt Aussehende Rosa Gestrickte Outfit 43 cm	New	8	0	8	0	0	0	0	EUR	8	EUR 26.88	0	EUR 0.0	1	8	14	19	Low conversion	EUR 99.99	EUR 99.99	EUR 99.99	EUR 0.0	Update inventory settings for:	8	99.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ111-PI-22	X000T05IAL	B0788N9R3H	Realistico Rinato Bambino Bambola Ragazza Occhi Chiusi Silicone Vestito Rosa 55 cm	New	18	0	18	0	0	0	0	EUR	18	EUR 180.27	0	EUR 0.0	0	5	11	16	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	18	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ123-W0-22	X000UEWM55	B07CM52CNC	Yesteria Poupée Réalistique Bébé Nouveau-né de 55cm en Silicone d'origine Eurpéenne Blanche Fille Chemise de Nuit Rétro	New	3	0	3	0	0	0	0	EUR	3	EUR 17.75	0	EUR 0.0	0	0	0	0	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Edit listing	0	89.99	0	0	332.799269
2018-08-25	amazon.fr	DO-YELQ073-LGR-22	X000UFJEFF	B0792VRZ89	Poupée Réaliste de 55cm Nouveau-né en Silicone Reborn Baby Doll Tenue Grise	New	10	0	10	0	0	0	0	EUR	9	EUR 72.74	0	EUR 0.0	0	0	0	0	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	9	89.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ018-P4-16	X000TT1XQZ	B07BHMXQ7H	Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Muñeca Realista Muchacha 40 cm Traje Morado Claro	New	16	0	16	0	0	0	0	EUR	4	EUR 27.04	0	EUR 0.0	3	13	17	19		EUR 129.99	EUR 79.99	EUR 79.99	EUR 0.0	Update inventory settings for:	15	79.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ011-W0-22	X000T0H5D9	B0788N4FMR	Bambola Realistica Silicone Bambini Ragazza Vestito Bianco con Modello di Gatto 55 cm	New	30	0	30	0	0	0	0	EUR	24	EUR 197.6	0	EUR 0.0	0	2	9	9	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	28	89.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ706-R0-24	X000VAJZ9J	B07D4D6Q9C	Yesteria 24 Inches Realista Reborn bebé muñeca Silicona Overol Chamarra Azul Pantalones Blanco Zapatos	New	3	0	3	0	0	0	0	EUR	3	EUR 59.77	0	EUR 0.0	0	1	2	2	Low conversion	EUR 108.99	EUR 108.99	EUR 108.99	EUR 0.0	Update inventory settings for:	4	108.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ708-W0-24	X000V9WZ2J	B07D4DC72D	Reborn Toddler Babies Silicone Vinyl Realistic Toddler Panda Coat Black Pants with Shoes 24 inches	New	1	0	1	0	0	0	0	GBP	1	GBP 9.99	0	GBP 0.0	1	1	1	1	Low conversion	GBP 256.0	GBP 88.99	GBP 88.99	GBP 0.0	Update inventory settings for:	4	88.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ601-PI-22	X000SW4P45	B076J2TBNG	Realistico Rinato Bambino Ragazza Occhi Chiusi Silicone Vestiti Rosa 55 cm	New	57	0	57	0	0	0	0	EUR	17	EUR 133.46	0	EUR 0.0	0	2	6	10	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	44	89.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ163-R0-22	X000SVPRK7	B076P99TGC	Realista Reborn Bebé Silicona de Cuerpo Completo Vinilo Suave Tacto Muñeca 57 cm Traje Rojo	New	20	0	20	0	0	0	0	EUR	20	EUR 179.39	0	EUR 0.0	1	4	6	9	Low conversion	EUR 129.99	EUR 99.99	EUR 99.99	EUR 0.0	Update inventory settings for:	21	99.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ073-LGR-22	X000UFJEFF	B0792VRZ89	55 cm Realistico Reborn Baby Bambola Ragazzo Bambino Rinato Vestito Grigio	New	10	0	10	0	0	0	0	EUR	9	EUR 72.74	0	EUR 0.0	0	1	3	4	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	9	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ101-B7-22	X000UVINCT	B079JRPXZ8	Yesteria Reborn Baby Doll Garçon en Silicone Poupée Nouveau-Née Réaliste DE 55 cm avec Une Tenue Blanche	New	30	0	30	0	0	0	0	EUR	20	EUR 99.35	0	EUR 0.0	2	7	8	8	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	32	89.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ070-PI-16	X000UULE99	B079NYR8GC	Silicone Reborn Baby Dolls Girl Look Real White Outfit with Lovely Patterns 16 inches	New	10	0	10	0	0	0	0	GBP	5	GBP 21.96	0	GBP 0.0	0	1	2	2	Low conversion	GBP 62.99	GBP 62.99	GBP 62.99	GBP 0.0	Update inventory settings for:	10	69.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ004-B7-10	X000T05I1Z	B076Q71HXL	Yesteria Bebé Recién Nacido de Silicona Reborn Baby Doll Realista Muñeca Chico DE 27 cm Traje Azul Claro	New	39	0	39	0	0	0	0	EUR	9	EUR 8.38	0	EUR 0.0	0	0	0	1	Low conversion	EUR 79.99	EUR 32.99	EUR 32.99	EUR 0.0	Update inventory settings for:	40	32.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ602-PI-22	X000SVPRIT	B076J4L24W	Yesteria Sleeping Reborn Baby Doll Girl Look Real Silicone Pink with Cow Pattern Outfit 22 Inches	New	49	0	49	0	0	0	0	GBP	9	GBP 66.79	0	GBP 0.0	0	4	9	10	Low conversion	GBP 129.99	GBP 69.99	GBP 69.99	GBP 0.0	Update inventory settings for:	46	69.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ230-PI-16	X000UU739T	B07DDB7VBP	Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Dress 16 inches	New	7	0	7	0	0	0	0	GBP	2	GBP 10.86	0	GBP 0.0	0	0	0	0	Low traffic	GBP 69.99	GBP 69.99	GBP 69.99	GBP 0.0	Advertise listing	7	69.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ904-B7-22	X000SW4P3V	B076J5RSFF	Bebé Recién Nacido de Silicona Reborn Baby Doll Realistica 55 cm Vestimenta Luz Azul	New	108	0	108	0	0	0	0	EUR	9	EUR 62.41	0	EUR 0.0	0	1	17	33	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	93	89.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ111-R2-22	X000TT216L	B07BHNQ7QC	Yesteria Realistische Wiedergeboren Babypuppen Mädchen Silikon Vinyl Tutu Kleid Rose Red 55 cm	New	31	0	31	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	1	4	15	20	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	20	89.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ539-PI-16	X000VLDOLD	B07G1WRYLK	Yesteria Real Like Reborn Baby Doll Girl Realistic Soft body Lovely Gift 16 Inches	New	3	0	3	0	0	0	0	GBP	3	GBP 28.63	0	GBP 0.0	0	0	0	0	Low traffic	GBP 62.99	GBP 62.99	GBP 62.99	GBP 0.0	Advertise listing	1	62.99	0	0	213.896368
2018-08-25	amazon.co.uk	DO-YELQ161-B7-22	X000SW4KEF	B076MT3BDS	Yesteria Reborn Baby Doll Boy Look Real Silicone Light Blue Outfit 22 Inches	New	12	0	12	0	0	0	0	GBP	5	GBP 37.64	0	GBP 0.0	0	1	2	3	Low traffic	GBP 69.99	GBP 69.99	GBP 69.99	GBP 0.0	Advertise listing	12	69.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ663-PI-15	X000UVFG2T	B07BRK2R83	40 cm Bambola Realistica Silicone Bambini Ragazza Vestito Viola Chiaro con Giocattolo Orso	New	10	0	10	0	0	0	0	EUR	10	EUR 71.61	0	EUR 0.0	0	1	1	1		EUR 79.99	EUR 79.99	EUR 79.99	EUR 0.0	Update inventory settings for:	10	79.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ073-LGR-22	X000UFJEFF	B0792VRZ89	Yesteria Life Like Reborn Baby Dolls Boy Realistic Toddler Silicone Vinyl Grey Outfit 22 Inch	New	10	0	10	0	0	0	0	GBP	9	GBP 72.74	0	GBP 0.0	1	1	2	2		GBP 69.99	GBP 69.99	GBP 69.99	GBP 0.0	Update inventory settings for:	9	69.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ123-W0-22	X000UEWM55	B07CM52CNC	Yesteria 22 Inch Real Looking Reborn Baby Dolls Girl Silicone Vinyl White European Retro Nightdress	New	3	0	3	0	0	0	0	GBP	3	GBP 17.75	0	GBP 0.0	0	0	0	0	Low conversion	GBP 79.99	GBP 79.99	GBP 79.99	GBP 0.0	Edit listing	0	79.99	0	0	332.799269
2018-08-25	amazon.de	YF-YELQ003-W0-XS	X000UWGVG3	B077T29TYP	Yesteria Reborn Babypuppe Kleidung Mädchen Zubehör für 50-55 cm Weiß und Kuh-Muster	New	4	0	4	0	0	0	0	EUR	4	EUR 3.6	0	EUR 0.0	0	0	0	0	Low conversion	EUR 21.99	EUR 21.99	EUR 21.99	EUR 0.0	Update inventory settings for:	5	21.99	0	0	0.0
2018-08-25	amazon.de	YF-YELQ003-PI-XS	X000T0GC65	B076K8YDNV	Yesteria Reborn Babypuppe Kleidung Mädchen für 50-55 cm Rosa und Kuh-Muster	New	28	0	28	0	0	0	0	EUR	28	EUR 19.62	0	EUR 0.0	0	0	5	5	Low conversion	EUR 21.99	EUR 21.99	EUR 21.99	EUR 0.0	Update inventory settings for:	33	21.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ163-R0-22	X000SVPRK7	B076P99TGC	Yesteria Reborn Bébé Poupée Réaliste en Vinyle Siliconé Garçon Vrai Bebe Poupee Migonne Toucher Doux 55 cm Tenue Rouge	New	20	0	20	0	0	0	0	EUR	20	EUR 179.39	0	EUR 0.0	0	2	8	11	Low conversion	EUR 159.99	EUR 99.99	EUR 99.99	EUR 0.0	Update inventory settings for:	21	99.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ163-R0-22	X000SVPRK7	B076P99TGC	Yesteria Schlafende Reborn Baby Puppe Junge Echt Aussehende Voller Silikon Körper Rot Outfit 57 cm	New	20	0	20	0	0	0	0	EUR	20	EUR 179.39	0	EUR 0.0	1	5	6	14	Low conversion	EUR 159.99	EUR 99.99	EUR 99.99	EUR 0.0	Update inventory settings for:	21	99.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ012-PI-22	X000UUKXZ5	B076J2H7FC	55 cm Bambola Realistica Silicone Bambini Ragazza Capelli Fibre Chimiche Vestito Rosa Chiaro	New	15	0	15	0	0	0	0	EUR	15	EUR 113.35	0	EUR 0.0	1	4	11	13		EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	16	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ705-BR-10	X000T0CPNT	B0788P8DCG	Yesteria Poupée Réaliste de Nouveau-né Fille 100% Silicone Style Bohème 27 cm Tenue Marron	New	25	0	25	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	0	0	0	0	Low conversion	EUR 32.99	EUR 32.99	EUR 32.99	EUR 0.0	Update inventory settings for:	18	32.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ152-B7-22	X000T0G6MP	B0784T23ZQ	Muñeca Reborn de Silicona Muñeca Realistica DE 55 cm Vestimenta de Azul Claro	New	3	0	0	3	0	0	0	EUR	3	EUR 27.92	0	EUR 0.0	0	2	2	2	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	3	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ601-PI-22	X000SW4P45	B076J2TBNG	Yesteria Poupée de Bébé Réaliste en Vinyle Siliconé Vinyle Fille 55 cm Tenue Rose	New	57	0	57	0	0	0	0	EUR	17	EUR 133.46	0	EUR 0.0	0	1	1	1		EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	44	89.99	0	0	0.0
2018-08-25	amazon.de	YF-YELQ162-B7-20	X000UWAIWV	B079P28VV3	Yesteria Reborn Babypuppe Kleidung Junge Zubehör für 50-55 cm Hell Blau Kleidung	New	4	0	4	0	0	0	0	EUR	4	EUR 3.54	0	EUR 0.0	0	1	1	1		EUR 21.99	EUR 21.99	EUR 21.99	EUR 0.0	Update inventory settings for:	4	21.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ001-PI-22	X000SW4KEP	B06XPJWWR4	Yesteria Reborn Babypuppe Mädchen Silikon Weiß und Rosa Outfit 55 cm	New	92	0	92	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	7	36	74	95	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	52	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ904-B7-22	X000SW4P3V	B076J5RSFF	Yesteria Nouveau-né Bébé Silicone Reborn Baby Doll Garçon Poupée Réaliste DE 55 cm Tenue Bleu Clair	New	108	0	108	0	0	0	0	EUR	9	EUR 62.41	0	EUR 0.0	0	5	7	9	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	93	89.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ603-NZ-22	X000TT4ANN	B07BHMZT4Y	Yesteria Bambola Realistica Silicone Bambini Ragazza Gonna di Jeans 55 cm	New	15	0	15	0	0	0	0	EUR	11	EUR 49.4	0	EUR 0.0	2	11	25	34		EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	17	89.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ705-GR-11	X000T0G6MF	B077HNP6TL	Yesteria Reborn Babypuppe Mädchen Elefanten Outfit Schau Echt Volle Silikon Körper Grau 27 cm	New	15	0	15	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	0	0	0	0	Low conversion	EUR 79.99	EUR 34.99	EUR 34.99	EUR 0.0	Update inventory settings for:	3	34.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ101-B7-22	X000UVINCT	B079JRPXZ8	Yesteria Reborn Baby Doll Junge Lebensechtes Kleinkind Silicone Weiß Outfit 55cm	New	30	0	30	0	0	0	0	EUR	20	EUR 99.35	0	EUR 0.0	3	13	27	32	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	32	89.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ203-P4-22	X000UVOLFR	B07DGB6SHX	55 cm Bambole in Silicone Reborn Baby Doll Ragazza Capelli Fibre Chimiche Vestito Viola Chiaro	New	8	0	8	0	0	0	0	EUR	8	EUR 70.75	0	EUR 0.0	1	6	10	14		EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	8	89.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ611-TW-22	X000TT217P	B0793RG3PM	Yesteria Reale Bambola Reborn Bambino Silicone Ragazzo Jumpsuit a Righa Rosso 55 cm	New	8	0	1	7	0	0	0	EUR	8	EUR 39.68	0	EUR 0.0	0	0	0	1	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	8	89.99	0	0	0.0
2018-08-25	amazon.co.uk	YF-YELQ602-PI-20	X000UWGU7N	B079P55XYW	Reborn Baby Doll Outfits Boy Accessories for 20"- 22" Pink Outfit	New	5	0	5	0	0	0	0	GBP	5	GBP 2.74	0	GBP 0.0	0	0	0	0	Low conversion	GBP 15.98	GBP 15.98	GBP 15.98	GBP 0.0	Update inventory settings for:	5	15.98	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ012-PI-22	X000UUKXZ5	B076J2H7FC	Yesteria Reborn Baby Doll Fille Silicone Poupée Nouveau-née Réaliste 55 cm avec Une Perruque Tenue Rose	New	15	0	15	0	0	0	0	EUR	15	EUR 113.35	0	EUR 0.0	0	4	4	4	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	16	89.99	0	0	0.0
2018-08-25	amazon.it	YF-YELQ002-B7-20	X000UWGU73	B079NXJZ52	Yesteria Vestiti Bambole per Bambole Reborn Accessori da 50-55 cm Rosa	New	5	0	5	0	0	0	0	EUR	5	EUR 2.53	0	EUR 0.0	0	0	1	2	Low conversion	EUR 19.07	EUR 19.07	EUR 19.07	EUR 0.0	Update inventory settings for:	7	19.07	0	0	0.0
2018-08-25	amazon.de	DO-YELQ701-PI-22	X000UVTU8Z	B07CM9N213	Reborn Baby Doll Mädchen Lebensechtes Kleinkind Silicone Rosa Rot Tutu Kleid mit Gestreiften Hosen	New	2	0	2	0	0	0	0	EUR	2	EUR 10.27	0	EUR 0.0	2	5	5	5	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	5	89.99	0	0	0.0
2018-08-25	amazon.fr	YF-YELQ003-R2-XS	X000T0H007	B076KQB6X1	Yesteria Tenue Reborn Bébé pour Poupée de 50-55 cm Modèles Vache, Rose et Rouge	New	41	0	41	0	0	0	0	EUR	41	EUR 14.23	0	EUR 0.0	1	1	2	2	Low conversion	EUR 21.99	EUR 21.99	EUR 21.99	EUR 0.0	Update inventory settings for:	42	21.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ011-W0-22	X000T0H5D9	B0788N4FMR	Yesteria Renacer Muñecas Real de Silicona Cerrados Los Ojos Vinilo 55 cm Vestido Blanco	New	30	0	30	0	0	0	0	EUR	24	EUR 197.6	0	EUR 0.0	1	4	18	25	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	28	89.99	0	0	0.0
2018-08-25	amazon.es	DO-YELQ705-BR-10	X000T0CPNT	B0788P8DCG	Yesteria Muñeca Renacido Africano Chica Cuerpo Completo de Silicona Traje de Estilo Bohemio 27 cm	New	25	0	25	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	1	2	2	4	Low traffic	EUR 32.99	EUR 32.99	EUR 32.99	EUR 0.0	Advertise listing	18	32.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ610-R2-22	X000TUXSP3	B07BM7G52Z	Yesteria Realistische Reborn Baby Doll Mädchen Silikon Rose Rot Ausrüstung 55 cm	New	31	0	31	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	1	4	5	10	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	11	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ004-B7-10	X000T05I1Z	B076Q71HXL	Yesteria Nouveau-né Bébé Silicone Reborn Baby Doll Poupée Réaliste 100% Silicone Corps Entier 27 cm Tenue Bleu Clair	New	39	0	39	0	0	0	0	EUR	9	EUR 8.38	0	EUR 0.0	0	1	3	5	Low conversion	EUR 79.99	EUR 32.99	EUR 32.99	EUR 0.0	Update inventory settings for:	40	32.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ985-B7-20	X000UEXC8V	B07CM67KDW	Yesteria 50 cm Tutto il Corpo in Silicone Pieno Bambola Rinato Ragazzo Bambino Nudo Reale con Coperta Blu	New	19	0	19	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	1	6	12	18	Low conversion	EUR 159.99	EUR 109.99	EUR 109.99	EUR 0.0	Update inventory settings for:	16	109.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ161-PI-22	X000SVRFZH	B076MW1Y4F	Realistico Rinato Bambino Bambola Femmina Ragazza Occhi Chiusi Silicone Vinile Vestito Bianco con Coperte Rosa 55 cm	New	36	0	36	0	0	0	0	EUR	35	EUR 230.23	0	EUR 0.0	0	0	0	4	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Create Sale	27	78.99	217	0	1176.49339
2018-08-25	amazon.fr	DO-YELQ230-PI-16	X000UU739T	B07DDB7VBP	Yesteria Reborn Baby Doll Fille Vynile Siliconé Poupée Nouveau-née Réaliste 40 cm Robe Rose	New	7	0	7	0	0	0	0	EUR	2	EUR 10.86	0	EUR 0.0	0	0	1	1	Low conversion	EUR 79.99	EUR 79.99	EUR 79.99	EUR 0.0	Update inventory settings for:	7	79.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ708-W0-24	X000V9WZ2J	B07D4DC72D	60 cm Bambola Realistica Silicone Bambini Ragazza Vestito da Panda Pantaloni Neri con Scarpe	New	1	0	1	0	0	0	0	EUR	1	EUR 9.99	0	EUR 0.0	1	2	4	4		EUR 291.08	EUR 108.99	EUR 108.99	EUR 0.0	Update inventory settings for:	4	108.99	0	0	0.0
